0.475	2.421	0.03	0.101
0.525	2.852	0.016	0.129
0.575	3.042	0.012	0.14
0.625	3.328	0.01	0.154
0.675	3.572	0.013	0.172
0.725	3.641	0.016	0.178
0.775	3.752	0.022	0.182
0.825	3.84	0.024	0.195
0.875	4.056	0.015	0.213
0.925	4.042	0.035	0.213
0.975	4.238	0.032	0.225
1.025	4.32	0.034	0.239
1.075	4.215	0.039	0.24
1.125	4.19	0.018	0.235
1.175	4.201	0.017	0.228
1.225	4.136	0.037	0.234
1.275	4.035	0.032	0.23
1.325	4.08	0.027	0.238
1.375	4.064	0.046	0.238
1.425	4.086	0.033	0.235
1.475	4.063	0.041	0.221
1.525	3.993	0.041	0.232
1.575	3.956	0.043	0.252
1.625	3.992	0.025	0.236
1.675	4.012	0.042	0.239
1.725	3.942	0.033	0.225
1.775	3.816	0.035	0.2
1.825	3.789	0.048	0.193
1.875	3.774	0.031	0.212
1.925	3.61	0.047	0.2
1.975	3.519	0.06	0.186
2.025	3.456	0.018	0.178
2.075	3.395	0.023	0.171
2.125	3.383	0.054	0.172
2.175	3.324	0.052	0.172
2.225	3.324	0.016	0.168
2.275	3.274	0.023	0.162
2.325	3.179	0.029	0.149
2.375	3.121	0.027	0.143
2.425	3.016	0.021	0.13
2.475	2.991	0.02	0.125
2.525	2.956	0.019	0.121
2.575	2.99	0.042	0.144
2.625	2.974	0.032	0.153
2.675	2.914	0.021	0.154
2.725	2.865	0.017	0.152
2.775	2.819	0.062	0.151
2.825	2.78	0.038	0.149
2.875	2.707	0.06	0.144
2.925	2.668	0.02	0.139
2.975	2.641	0.057	0.142
3.025	2.607	0.057	0.144
3.075	2.557	0.038	0.145
3.125	2.566	0.02	0.147
3.175	2.536	0.059	0.149
3.225	2.482	0.021	0.146
3.275	2.429	0.067	0.144
3.325	2.397	0.071	0.144
3.375	2.39	0.069	0.144
3.425	2.367	0.018	0.144
3.475	2.314	0.019	0.143
3.525	2.298	0.067	0.143
3.575	2.272	0.02	0.138
3.625	2.224	0.054	0.138
3.675	2.21	0.029	0.138
3.725	2.196	0.06	0.146
3.775	2.188	0.025	0.148
3.825	2.165	0.025	0.142
3.875	2.179	0.02	0.14
3.925	2.145	0.051	0.143
3.975	2.151	0.016	0.139
4.025	2.123	0.066	0.137
4.075	2.101	0.03	0.143
4.125	2.121	0.017	0.144
4.175	2.112	0.073	0.146
4.225	2.084	0.097	0.147
4.275	2.041	0.066	0.141
4.325	2.047	0.02	0.146
4.375	1.986	0.036	0.144
4.425	1.982	0.05	0.147
4.475	1.938	0.038	0.149
4.525	1.941	0.019	0.143
4.575	1.94	0.06	0.144
4.625	1.927	0.058	0.157
4.675	1.898	0.034	0.145
4.725	1.881	0.019	0.146
4.775	1.839	0.032	0.15
4.825	1.847	0.037	0.152
4.875	1.811	0.021	0.144
4.925	1.793	0.016	0.162
4.975	1.795	0.019	0.138
5.025	1.795	0.063	0.137
5.075	1.781	0.018	0.151
5.125	1.756	0.059	0.146
5.175	1.753	0.016	0.125
5.225	1.774	0.05	0.154
5.275	1.737	0.038	0.136
5.325	1.739	0.059	0.133
5.375	1.71	0.021	0.125
5.425	1.706	0.03	0.149
5.475	1.704	0.054	0.154
5.525	1.647	0.033	0.144
5.625	1.643	0.02	0.113
5.925	1.603	0.026	0.098
5.955	1.472	0.032	0.052
6.915	1.389	0.02	0.044
7.267	1.363	0.022	0.065
7.63	1.308	0.022	0.125
8.021	1.274	0.01	0.052
8.847	1.215	0.017	0.044
9.775	1.146	0.005	0.041
10.267	1.156	0.01	0.031
10.762	1.115	0.011	0.029
11.344	1.084	0.035	0.033
12.58	1.049	0.013	0.022
13.238	1.001	0.01	0.026
14.689	0.992	0.013	0.048
17.108	0.9	0.015	0.039
19.072	0.911	0.014	0.028
20.108	0.874	0.016	0.039
21.097			
24.259			
26.68			
32.5			
34.932			
36.75	0.767	0.014	0.014
43.97			
47.44			
64.27	0.699	0.022	0.01
75			
86			
97.69	0.672	0.023	0.008